Test Case,Process ID,Arrival Time,Burst Time
1,P1,77,13
1,P2,79,8
1,P3,92,9
1,P4,88,6
1,P5,44,10
1,P6,65,13
1,P7,91,12
1,P8,10,16
1,P9,23,2
1,P10,32,17
1,P11,66,15
1,P12,45,20
1,P13,79,1
2,P1,11,2
2,P2,20,16
2,P3,46,5
2,P4,8,13
2,P5,52,8
2,P6,5,6
3,P1,22,8
3,P2,84,20
3,P3,51,5
3,P4,42,14
3,P5,41,9
3,P6,68,15
3,P7,12,20
3,P8,61,1
3,P9,87,9
3,P10,67,15
3,P11,10,19
3,P12,43,16
3,P13,91,16
3,P14,45,6
3,P15,96,19
3,P16,5,10
4,P1,60,2
4,P2,43,20
4,P3,74,3
4,P4,64,6
4,P5,76,18
4,P6,44,16
4,P7,62,14
4,P8,31,7
4,P9,66,20
4,P10,74,20
4,P11,30,1
4,P12,38,8
4,P13,0,2
4,P14,6,6
4,P15,37,7
4,P16,38,7
4,P17,72,19
4,P18,17,1
5,P1,31,17
5,P2,19,4
5,P3,66,14
5,P4,33,7
5,P5,25,4
5,P6,25,19
5,P7,73,1
5,P8,4,4
5,P9,88,9
5,P10,25,15
5,P11,31,13
5,P12,7,7
5,P13,82,18
5,P14,73,3
5,P15,45,13
5,P16,16,6
5,P17,5,16
5,P18,85,1
6,P1,48,14
6,P2,24,9
6,P3,22,16
6,P4,73,17
6,P5,98,2
6,P6,52,20
6,P7,98,14
6,P8,81,1
7,P1,61,2
7,P2,48,18
7,P3,57,19
7,P4,7,11
7,P5,88,20
7,P6,62,8
7,P7,44,19
7,P8,77,3
7,P9,40,10
8,P1,85,19
8,P2,29,15
8,P3,4,14
8,P4,46,11
8,P5,23,10
8,P6,68,17
8,P7,47,18
8,P8,25,7
8,P9,73,16
8,P10,61,4
8,P11,73,4
8,P12,70,19
8,P13,25,7
8,P14,12,14
8,P15,19,8
8,P16,58,16
8,P17,99,19
9,P1,55,4
9,P2,50,14
9,P3,50,4
9,P4,82,6
9,P5,59,13
9,P6,97,18
9,P7,21,13
9,P8,23,9
9,P9,82,15
9,P10,93,1
10,P1,31,14
10,P2,68,20
10,P3,55,17
10,P4,22,14
10,P5,8,1
10,P6,76,5
10,P7,77,17
10,P8,52,15
10,P9,96,16
10,P10,99,8
11,P1,64,3
11,P2,94,10
11,P3,63,13
11,P4,18,19
11,P5,10,14
11,P6,22,20
11,P7,89,4
11,P8,89,5
11,P9,78,17
11,P10,35,13
11,P11,46,10
11,P12,30,18
12,P1,79,5
12,P2,93,7
12,P3,49,16
12,P4,56,12
12,P5,15,5
12,P6,80,20
12,P7,52,11
12,P8,14,18
12,P9,99,18
12,P10,82,11
12,P11,38,16
13,P1,77,7
13,P2,51,4
13,P3,74,3
13,P4,14,9
13,P5,42,7
13,P6,61,9
13,P7,68,4
13,P8,62,1
13,P9,33,1
13,P10,82,1
13,P11,91,12
13,P12,72,19
13,P13,9,17
13,P14,82,14
13,P15,65,1
13,P16,48,1
13,P17,93,18
14,P1,31,16
14,P2,12,20
14,P3,25,8
14,P4,84,1
14,P5,58,16
14,P6,77,5
14,P7,89,2
14,P8,46,7
14,P9,16,20
14,P10,3,18
14,P11,93,18
14,P12,11,2
14,P13,55,1
14,P14,56,13
14,P15,48,2
14,P16,95,3
14,P17,64,16
14,P18,80,18
14,P19,52,17
14,P20,90,5
15,P1,67,18
15,P2,14,5
15,P3,72,6
15,P4,39,20
15,P5,44,16
15,P6,92,20
15,P7,60,5
15,P8,81,9
15,P9,86,5
16,P1,98,9
16,P2,96,10
16,P3,9,16
16,P4,81,17
16,P5,1,19
16,P6,44,19
16,P7,62,6
16,P8,36,2
16,P9,39,3
16,P10,8,19
16,P11,25,9
16,P12,62,11
16,P13,30,12
16,P14,65,4
16,P15,73,18
17,P1,21,11
17,P2,46,19
17,P3,24,16
17,P4,26,19
17,P5,92,6
17,P6,18,13
17,P7,42,13
17,P8,65,1
17,P9,93,10
17,P10,95,14
17,P11,25,1
17,P12,71,3
17,P13,74,15
17,P14,22,13
17,P15,33,14
18,P1,36,11
18,P2,93,1
18,P3,16,9
18,P4,84,6
18,P5,7,17
18,P6,14,1
18,P7,39,6
18,P8,21,6
18,P9,69,15
18,P10,76,14
18,P11,31,19
18,P12,13,19
18,P13,80,20
18,P14,2,3
18,P15,49,17
18,P16,98,11
19,P1,71,14
19,P2,15,17
19,P3,31,15
19,P4,90,18
19,P5,92,8
19,P6,91,15
19,P7,21,15
19,P8,37,3
19,P9,71,18
19,P10,39,8
19,P11,91,9
19,P12,11,4
19,P13,96,10
19,P14,0,4
19,P15,49,2
19,P16,35,15
19,P17,78,7
20,P1,97,3
20,P2,11,12
20,P3,53,1
20,P4,99,10
20,P5,89,16
20,P6,43,17
20,P7,67,8
20,P8,13,2
20,P9,6,19
20,P10,1,10
20,P11,77,1
20,P12,37,4
20,P13,16,17
20,P14,2,17
20,P15,0,15
20,P16,95,8
20,P17,44,20
20,P18,63,16
20,P19,13,10
21,P1,96,20
21,P2,47,11
21,P3,20,6
21,P4,29,10
21,P5,14,3
21,P6,72,11
21,P7,64,9
21,P8,5,3
21,P9,97,4
21,P10,64,5
21,P11,61,12
21,P12,9,3
21,P13,27,15
21,P14,19,4
21,P15,35,13
21,P16,39,11
22,P1,70,20
22,P2,19,19
22,P3,46,18
22,P4,83,16
22,P5,90,13
22,P6,41,11
22,P7,21,8
22,P8,3,15
22,P9,93,4
22,P10,44,9
23,P1,77,14
23,P2,93,12
23,P3,55,16
23,P4,12,20
23,P5,89,17
23,P6,1,14
23,P7,45,1
23,P8,24,4
23,P9,48,14
23,P10,48,20
23,P11,79,18
23,P12,80,15
23,P13,99,18
23,P14,26,10
23,P15,74,8
23,P16,84,18
23,P17,66,11
23,P18,95,11
23,P19,58,12
23,P20,48,19
24,P1,56,9
24,P2,40,12
24,P3,71,17
24,P4,87,15
24,P5,17,3
24,P6,86,20
24,P7,2,4
24,P8,99,12
24,P9,70,17
24,P10,88,7
24,P11,46,5
24,P12,54,20
24,P13,74,20
24,P14,45,3
24,P15,9,6
24,P16,97,8
24,P17,34,3
24,P18,50,15
25,P1,78,4
25,P2,85,9
25,P3,80,12
25,P4,67,8
25,P5,19,18
26,P1,8,3
26,P2,1,5
26,P3,92,8
26,P4,35,5
26,P5,91,8
26,P6,53,9
26,P7,96,8
27,P1,97,18
27,P2,93,4
27,P3,98,11
27,P4,60,12
27,P5,30,4
27,P6,98,5
27,P7,4,11
27,P8,10,17
27,P9,49,15
27,P10,22,14
27,P11,45,5
27,P12,84,6
28,P1,97,1
28,P2,48,13
28,P3,21,2
28,P4,91,9
28,P5,25,4
28,P6,15,13
28,P7,92,4
28,P8,13,13
28,P9,31,17
28,P10,13,13
28,P11,88,13
28,P12,73,9
28,P13,90,15
28,P14,69,13
28,P15,4,2
28,P16,2,13
28,P17,24,8
29,P1,16,9
29,P2,69,6
29,P3,68,20
29,P4,88,2
29,P5,87,5
29,P6,15,1
29,P7,6,7
29,P8,61,7
29,P9,58,10
29,P10,27,15
29,P11,37,20
29,P12,83,4
29,P13,85,9
29,P14,99,20
29,P15,18,16
29,P16,18,20
29,P17,82,5
29,P18,25,17
29,P19,45,12
29,P20,12,1
30,P1,18,16
30,P2,61,13
30,P3,37,10
30,P4,5,2
30,P5,3,3
30,P6,45,4
30,P7,81,17
30,P8,62,2
30,P9,28,19
30,P10,80,14
30,P11,92,12
30,P12,72,15
30,P13,54,5
30,P14,2,13
30,P15,45,9
30,P16,41,14
30,P17,18,5
31,P1,48,5
31,P2,80,16
31,P3,60,3
31,P4,31,12
31,P5,16,1
31,P6,59,14
31,P7,76,15
31,P8,55,4
31,P9,49,1
31,P10,46,6
